,name,state,price in €,rooms,size
53,Room Scherpenzeelstraat 189 C,1107 HV Amsterdam (Holendrecht/Reigersbos),675 per month,2 rooms,14 m²
54,Apartment Jacob van Lennepkade,1053 NM Amsterdam (Van Lennepbuurt),"1,600 per month",2 rooms,48 m²
55,Apartment Generaal Vetterstraat,1059 BS Amsterdam (Hoofddorppleinbuurt),"1,975 per month",3 rooms,71 m²
56,Apartment Martini van Geffenstraat,1068 GL Amsterdam (Osdorp-Oost),"2,100 per month",4 rooms,100 m²
57,Apartment Waalstraat,1079 DW Amsterdam (Rijnbuurt),"1,850 per month",3 rooms,65 m²
58,Apartment Zocherstraat 28 IV,1054 LZ Amsterdam (Overtoomse Sluis),"1,850 per month",3 rooms,52 m²
59,Apartment Wouwermanstraat 27 II,1071 LV Amsterdam (Museumkwartier),"4,750 per month",5 rooms,210 m²
60,Apartment Parnassusweg,1077 DC Amsterdam (Apollobuurt),"2,475 per month",4 rooms,105 m²
61,Apartment Parnassusweg,1077 DC Amsterdam (Apollobuurt),"2,475 per month",4 rooms,105 m²
62,Apartment Prinsengracht,1017 JJ Amsterdam (Grachtengordel-Zuid),"1,950 per month",2 rooms,70 m²
63,Apartment Bijlmerdreef,"1102 RR Amsterdam (Bijlmer Centrum (D,F,H))","1,700 per month",4 rooms,96 m²
64,Apartment Jacob van Lennepstraat 230 A,1053 KB Amsterdam (Van Lennepbuurt),"2,750 per month",5 rooms,117 m²
65,Apartment Amstelveenseweg 318 1,1076 CS Amsterdam (Stadionbuurt),"1,750 per month",3 rooms,70 m²
66,Apartment Johan van der Keukenstraat,1087 BC Amsterdam (IJburg West),"1,250 per month",1 room,47 m²
67,Apartment Ruysdaelkade 85 I,1072 AL Amsterdam (Oude Pijp),"1,850 per month",3 rooms,60 m²
68,Apartment De Clercqstraat 134 II,1052 NP Amsterdam (Kinkerbuurt),"1,950 per month",3 rooms,87 m²
69,Apartment Deurloostraat,1078 HT Amsterdam (Scheldebuurt),"1,950 per month",3 rooms,85 m²
70,Room Nieuwe Laan,1068 CB Amsterdam (Osdorp-Oost),575 per month,1 room,95 m²
71,Apartment Rijnstraat,1079 HE Amsterdam (Rijnbuurt),"2,350 per month",4 rooms,85 m²
72,Apartment Dickenslaan 21,"1102 XN Amsterdam (Bijlmer Centrum (D,F,H))",950 per month,1 room,35 m²
73,Apartment Rustenburgerstraat,1074 ER Amsterdam (Nieuwe Pijp),"2,650 per month",4 rooms,95 m²
74,Apartment Warmoesstraat,1012 JD Amsterdam (Burgwallen-Oude Zijde),"2,500 per month",3 rooms,125 m²
75,Apartment Leiduinstraat,1058 SK Amsterdam (Hoofddorppleinbuurt),"1,850 per month",3 rooms,65 m²
76,House Prinses Marijkestraat,1077 XC Amsterdam (Prinses Irenebuurt e.o.),"5,500 per month",5 rooms,183 m²
77,Apartment Reguliersgracht 140 I,1017 LZ Amsterdam (De Weteringschans),"1,700 per month",2 rooms,55 m²
78,Apartment Oostelijke Handelskade 1205,1019 DN Amsterdam (Oostelijk Havengebied),"2,100 per month",3 rooms,100 m²
79,Apartment Prinsenstraat 13 II,1015 DA Amsterdam (Grachtengordel-West),"1,950 per month",3 rooms,75 m²
80,Apartment Wilhelminastraat 148 2,1054 WR Amsterdam (Overtoomse Sluis),"1,625 per month",2 rooms,53 m²
81,Apartment Pieter Aertszstraat 88 III/IV,1073 ST Amsterdam (Nieuwe Pijp),"2,500 per month",3 rooms,95 m²
82,Apartment Vrolikstraat,1091 VE Amsterdam (Oosterparkbuurt),"1,650 per month",3 rooms,56 m²
83,Apartment Badhuiskade 73,1031 KV Amsterdam (Noordelijke IJ-oevers West),"2,300 per month",3 rooms,81 m²
84,Apartment Michelangelostraat 105 3,1077 CA Amsterdam (Apollobuurt),"7,750 per month",6 rooms,266 m²
85,Apartment Sint Jansstraat 52 1,1012 HG Amsterdam (Burgwallen-Oude Zijde),"1,450 per month",2 rooms,45 m²
86,Apartment Stadionweg,1077 SV Amsterdam (Apollobuurt),"3,500 per month",2 rooms,135 m²
87,Apartment Binnenkant,1011 BP Amsterdam (Nieuwmarkt/Lastage),"3,500 per month",4 rooms,167 m²
88,Apartment Plantage Muidergracht 27 2,1018 TL Amsterdam (Weesperbuurt/Plantage),"2,250 per month",2 rooms,66 m²
